Temperature         mean       std     max     min
Region Device                                     
EoP    DCDC   -29.759794  0.001564 -29.757 -29.763
       EoP    -29.732048  0.147301 -28.723 -29.969
R0     ABC    -25.645285  0.177830 -25.223 -26.045
       AMAC   -28.015400  0.009302 -27.997 -28.032
       FEAST  -28.008533  0.010035 -27.996 -28.021
       HCC    -27.617075  0.032555 -27.545 -27.662
       Sensor -28.002446  0.349433 -27.079 -28.714
R1     ABC    -24.792157  0.444122 -23.756 -25.539
       AMAC   -27.058367  0.022858 -27.013 -27.103
       FEAST  -26.212190  0.001456 -26.209 -26.214
       HCC    -27.052929  0.032700 -26.987 -27.101
       Sensor -27.312476  0.657813 -25.704 -28.526
R2     ABC    -24.699948  0.604147 -23.680 -25.617
       AMAC   -27.629283  0.043277 -27.549 -27.701
       FEAST  -26.291008  0.005225 -26.280 -26.302
       HCC    -27.608461  0.201080 -27.395 -27.827
       Sensor -27.208453  0.671385 -25.604 -28.202
R3     ABC    -23.994230  0.872412 -22.440 -25.437
       AMAC   -26.772052  0.076569 -26.665 -26.880
       FEAST  -25.171441  0.259712 -24.873 -25.502
       HCC    -26.937866  0.068969 -26.829 -27.048
       Sensor -26.896585  1.072555 -24.351 -28.931
R4     ABC    -24.790583  0.930806 -23.348 -26.564
       AMAC   -28.520105  0.195953 -28.309 -28.736
       FEAST  -27.330441  0.197556 -27.122 -27.538
       HCC    -28.172490  0.250408 -27.900 -28.496
       Sensor -27.732209  0.955703 -25.249 -29.396
R5     ABC    -25.368757  0.448195 -24.648 -26.378
       AMAC   -28.744481  0.175205 -28.550 -28.931
       FEAST  -28.728425  0.034209 -28.690 -28.766
       HCC    -28.432741  0.164399 -28.152 -28.615
       Sensor -28.235112  0.763065 -26.493 -29.447
