Temperature         mean       std     max     min
Region Device                                     
EoP    DCDC   -29.881295  0.000970 -29.880 -29.883
       EoP    -29.870929  0.099621 -29.107 -29.999
R0     ABC    -29.248911  0.429653 -28.243 -29.609
       AMAC   -29.539448  0.012487 -29.526 -29.553
       FEAST  -29.513671  0.024331 -29.488 -29.539
       HCC    -18.981517  0.216671 -18.598 -19.481
       Sensor -29.387587  0.361240 -27.858 -29.731
R1     ABC    -29.209189  0.462659 -27.981 -29.570
       AMAC   -29.496514  0.005025 -29.489 -29.502
       FEAST  -29.391946  0.012477 -29.379 -29.405
       HCC    -18.611328  0.126001 -18.304 -18.933
       Sensor -29.346439  0.394870 -27.728 -29.704
R2     ABC    -29.053073  0.523112 -27.655 -29.421
       AMAC   -29.355630  0.005124 -29.350 -29.362
       FEAST  -29.237532  0.006627 -29.229 -29.245
       HCC    -17.328086  0.176759 -16.953 -17.697
       Sensor -29.155538  0.524435 -26.999 -29.588
R3     ABC    -28.781480  0.633023 -26.982 -29.266
       AMAC   -29.134079  0.003058 -29.130 -29.138
       FEAST  -29.092710  0.034147 -29.044 -29.140
       HCC    -17.348671  0.143906 -16.998 -17.722
       Sensor -29.047197  0.583468 -26.248 -29.712
R4     ABC    -29.385964  0.363274 -28.178 -29.652
       AMAC   -29.630297  0.027891 -29.600 -29.660
       FEAST  -29.613576  0.034893 -29.578 -29.649
       HCC    -18.757786  0.225919 -18.275 -19.198
       Sensor -29.520798  0.294274 -27.620 -29.802
R5     ABC    -29.504040  0.369932 -28.207 -29.782
       AMAC   -29.528405  0.069112 -29.453 -29.600
       FEAST  -29.732017  0.002238 -29.729 -29.735
       HCC    -18.813801  0.367834 -18.078 -19.368
       Sensor -29.562688  0.324416 -27.485 -29.867
