                       T      Terr       Tmax       Tmin
Region Device                                           
EoP    ASIC   -29.759828  0.001546 -29.756903 -29.762527
       EoP    -29.734662  0.145486 -28.895414 -29.968613
R0     ABC    -25.647680  0.172555 -25.251143 -26.045687
       AMAC   -28.003344  0.002674 -27.997440 -28.008167
       ASIC   -28.016200  0.000687 -28.014721 -28.017546
       HCC    -27.598217  0.035946 -27.545164 -27.651009
       Sensor -28.006954  0.348371 -27.129622 -28.711126
R1     ABC    -24.802937  0.445507 -23.765003 -25.513950
       AMAC   -27.041986  0.010441 -27.020489 -27.060452
       ASIC   -26.242382  0.000389 -26.241669 -26.243153
       HCC    -27.037372  0.033348 -26.986473 -27.081802
       Sensor -27.325850  0.658652 -25.712629 -28.525478
R2     ABC    -24.701043  0.604404 -23.678431 -25.616375
       AMAC   -27.553754  0.010647 -27.529478 -27.575596
       ASIC   -26.333980  0.003799 -26.327610 -26.340534
       HCC    -27.616885  0.207710 -27.394548 -27.826429
       Sensor -27.212544  0.670385 -25.615671 -28.201645
R3     ABC    -23.996727  0.874044 -22.438272 -25.288750
       AMAC   -26.807707  0.011357 -26.784872 -26.829975
       ASIC   -25.219450  0.006267 -25.210114 -25.228830
       HCC    -26.877130  0.022573 -26.829264 -26.908890
       Sensor -26.900079  1.072789 -24.349787 -28.876829
R4     ABC    -24.818172  0.942302 -23.346535 -26.477346
       AMAC   -28.698625  0.007151 -28.682409 -28.711624
       ASIC   -28.764068  0.000714 -28.762699 -28.765537
       HCC    -27.926153  0.018423 -27.899855 -27.958857
       Sensor -27.751766  0.961252 -25.264870 -29.396475
R5     ABC    -25.378892  0.474690 -24.648046 -26.377657
       AMAC   -28.922793  0.002218 -28.918026 -28.927485
       ASIC   -27.548280  0.004952 -27.540956 -27.555841
       HCC    -28.302693  0.136238 -28.151693 -28.445770
       Sensor -28.261441  0.775491 -26.492840 -29.447094
