# Types: 1 ABC, 2 HCC, 3 FEAST, 4 Sensor, 5 AMAC, 6 EoP
# R5 [FEA][20171207][-30.0C][0.0Wm2C][DP1][ALL]S2.dat
# R5 [FEA][20171207][-30.0C][0.0Wm2C][DP1][ALL]S1.dat
# R5 [FEA][20171207][-30.0C][0.0Wm2C][DP1][ALL]S3.dat
 pabc  phcc  pfeast  prest  type  result  error
 2.68  0.00    0.00   0.00     1    4.63   0.45
 2.68  0.00    0.00   0.00     5    1.26   0.18
 2.68  0.00    0.00   0.00     3    1.27   0.03
 2.68  0.00    0.00   0.00     2    1.57   0.16
 2.68  0.00    0.00   0.00     4    1.76   0.76
 2.68  0.00    0.00   0.00     6    0.27   0.15
# 2.68  0.00    0.00   0.00     7    0.24   0.00
 0.00  0.83    0.00   0.00     1    0.50   0.37
# 0.00  0.83    0.00   0.00     5    0.47   0.07
# 0.00  0.83    0.00   0.00     3    0.27   0.00
 0.00  0.83    0.00   0.00     2   11.19   0.37
 0.00  0.83    0.00   0.00     4    0.44   0.32
 0.00  0.83    0.00   0.00     6    0.13   0.10
# 0.00  0.83    0.00   0.00     7    0.12   0.00
 0.00  0.00    1.50   0.00     1    1.03   0.42
 0.00  0.00    1.50   0.00     5    1.01   0.04
 0.00  0.00    1.50   0.00     3   25.57   0.12
# 0.00  0.00    1.50   0.00     2    0.55   0.06
 0.00  0.00    1.50   0.00     4    1.15   0.64
 0.00  0.00    1.50   0.00     6    0.06   0.04
# 0.00  0.00    1.50   0.00     7    0.06   0.00
