Temperature         mean       std     max     min
Region Device                                     
EoP    DCDC   -29.935686  0.000575 -29.935 -29.937
       EoP    -29.938404  0.040237 -29.718 -30.096
R0     ABC    -28.788324  0.309746 -28.121 -29.311
       AMAC   -27.088919  0.095170 -26.909 -27.268
       FEAST   -3.872113  0.106582  -3.535  -4.059
       HCC    -29.090158  0.056558 -29.014 -29.171
       Sensor -28.925082  0.577820 -25.582 -29.444
R1     ABC    -28.098728  0.838747 -26.417 -29.030
       AMAC   -27.679635  0.069078 -27.534 -27.808
       FEAST   -1.589775  0.145037  -1.178  -1.932
       HCC    -28.939963  0.036857 -28.871 -28.982
       Sensor -28.415086  1.011498 -23.904 -29.371
R2     ABC    -27.760286  1.036396 -26.103 -28.956
       AMAC   -27.183068  0.137728 -26.949 -27.421
       FEAST   -0.432771  0.110252  -0.055  -0.640
       HCC    -28.885718  0.018102 -28.848 -28.911
       Sensor -27.922847  1.355098 -23.178 -29.147
R3     ABC    -27.837494  1.111091 -25.691 -29.276
       AMAC   -27.719587  0.079516 -27.556 -27.877
       FEAST  -11.670777  0.503712 -10.982 -12.299
       HCC    -29.017656  0.102142 -28.859 -29.182
       Sensor -28.066504  1.320248 -23.405 -29.630
R4     ABC    -28.582606  0.783055 -27.096 -29.947
       AMAC   -28.501441  0.175105 -28.246 -28.761
       FEAST   -1.919046  1.000582  -0.502  -3.112
       HCC    -29.388355  0.075820 -29.286 -29.511
       Sensor -28.686506  1.069222 -22.839 -30.031
R5     ABC    -28.973246  0.417805 -28.099 -29.616
       AMAC   -28.989065  0.044596 -28.898 -29.068
       FEAST   -4.425786  0.119934  -4.055  -4.636
       HCC    -29.448214  0.062429 -29.395 -29.560
       Sensor -28.846101  0.644620 -26.431 -29.750
