# Types: 1 ABC, 2 HCC, 3 FEAST, 4 Sensor, 5 AMAC, 6 EoP
# R4 [FEA][20171207][-30.0C][0.0Wm2C][DP1][ALL]S2.dat
# R4 [FEA][20171207][-30.0C][0.0Wm2C][DP1][ALL]S1.dat
# R4 [FEA][20171207][-30.0C][0.0Wm2C][DP1][ALL]S3.dat
 pabc  phcc  pfeast  prest  type  result  error
 2.38  0.00    0.00   0.00     1    5.21   0.93
 2.38  0.00    0.00   0.00     5    1.48   0.20
 2.38  0.00    0.00   0.00     3    2.67   0.20
 2.38  0.00    0.00   0.00     2    1.83   0.25
 2.38  0.00    0.00   0.00     4    2.27   0.96
 0.00  0.83    0.00   0.00     1    0.61   0.36
# 0.00  0.83    0.00   0.00     5    0.37   0.03
# 0.00  0.83    0.00   0.00     3    0.39   0.03
 0.00  0.83    0.00   0.00     2   11.24   0.23
 0.00  0.83    0.00   0.00     4    0.48   0.29
 0.00  0.00    1.50   0.00     1    1.42   0.78
 0.00  0.00    1.50   0.00     5    1.50   0.18
 0.00  0.00    1.50   0.00     3   28.08   1.00
# 0.00  0.00    1.50   0.00     2    0.61   0.08
 0.00  0.00    1.50   0.00     4    1.31   1.07

