                       T      Terr       Tmax       Tmin
Region Device                                           
EoP    ASIC    -8.227018  0.090659  -8.095677  -8.539424
       EoP    -22.039802  3.231210  -8.981853 -28.671770
R0     ABC    -23.977250  0.379205 -23.213213 -24.697762
       AMAC   -24.710253  0.074646 -24.562326 -24.842560
       ASIC     2.498765  0.081984   2.743913   2.298632
       HCC    -15.739417  0.129560 -15.481846 -16.063993
       Sensor -26.576008  0.766637 -24.542839 -27.943201
R1     ABC    -22.374917  1.049827 -20.185610 -24.030525
       AMAC   -24.225776  0.049121 -24.124992 -24.312508
       ASIC    12.821727  0.139571  13.146836  12.405300
       HCC    -14.735544  0.138812 -14.433414 -15.068756
       Sensor -25.324441  1.522359 -20.489170 -27.672590
R2     ABC    -22.105018  1.167605 -20.208508 -23.814682
       AMAC   -24.623021  0.044133 -24.530699 -24.704866
       ASIC     3.487351  0.107306   3.722196   3.176445
       HCC    -14.126658  0.138980 -13.799989 -14.461208
       Sensor -24.815143  1.529060 -20.716415 -26.974697
R3     ABC    -20.308394  1.911075 -16.978168 -23.558796
       AMAC   -22.998487  0.066834 -22.868713 -23.126415
       ASIC    33.886610  0.268095  34.369553  33.104786
       HCC    -13.060806  0.207044 -12.614426 -13.568144
       Sensor -23.951195  2.442324 -15.857572 -28.085903
R4     ABC    -23.023526  1.262734 -21.183479 -25.335165
       AMAC   -27.011436  0.026408 -26.948320 -27.062035
       ASIC     3.694353  0.145611   4.048254   3.377421
       HCC    -15.964053  0.133778 -15.681581 -16.277903
       Sensor -26.129989  1.518362 -23.007082 -28.342579
R5     ABC    -24.031100  0.408336 -23.362911 -25.022940
       AMAC   -27.493608  0.016779 -27.458542 -27.526369
       ASIC     3.029504  0.087239   3.313047   2.854894
       HCC    -16.327077  0.136206 -16.036236 -16.626102
       Sensor -26.847758  1.035298 -24.293827 -28.484152
