# Types: 1 ABC, 2 HCC, 3 FEAST, 4 Sensor, 5 AMAC, 6 EoP
# R0 [FEA][20171207][-30.0C][0.0Wm2C][DP1][ALL]S2.dat
# R0 [FEA][20171207][-30.0C][0.0Wm2C][DP1][ALL]S1.dat
# R0 [FEA][20171207][-30.0C][0.0Wm2C][DP1][ALL]S3.dat
 pabc  phcc  pfeast  prest  type  result  error
 2.53  0.00    0.00   0.00     1    4.35   0.18
 2.53  0.00    0.00   0.00     5    1.98   0.01
 2.53  0.00    0.00   0.00     3    1.99   0.01
 2.53  0.00    0.00   0.00     2    2.38   0.03
 2.53  0.00    0.00   0.00     4    2.00   0.35
 0.00  0.83    0.00   0.00     1    0.75   0.43
 0.00  0.83    0.00   0.00     5    0.46   0.01
 0.00  0.83    0.00   0.00     3    0.49   0.02
 0.00  0.83    0.00   0.00     2   11.02   0.22
 0.00  0.83    0.00   0.00     4    0.61   0.36
 0.00  0.00    1.50   0.00     1    1.21   0.31
# 0.00  0.00    1.50   0.00     5    2.91   0.10
 0.00  0.00    1.50   0.00     3   26.13   0.11
 0.00  0.00    1.50   0.00     2    0.91   0.06
 0.00  0.00    1.50   0.00     4    1.07   0.58

