# Types: 1 ABC, 2 HCC, 3 FEAST, 4 Sensor, 5 AMAC, 6 EoP
# R1 [FEA][20171207][-30.0C][0.0Wm2C][DP1][ALL]S2.dat
# R1 [FEA][20171207][-30.0C][0.0Wm2C][DP1][ALL]S1.dat
# R1 [FEA][20171207][-30.0C][0.0Wm2C][DP1][ALL]S3.dat
 pabc  phcc  pfeast  prest  type  result  error
 3.13  0.00    0.00   0.00     1    5.21   0.44
 3.13  0.00    0.00   0.00     5    2.94   0.02
 3.13  0.00    0.00   0.00     3    3.79   0.00
 3.13  0.00    0.00   0.00     2    2.95   0.03
 3.13  0.00    0.00   0.00     4    2.69   0.66
 0.00  0.83    0.00   0.00     1    0.79   0.46
 0.00  0.83    0.00   0.00     5    0.50   0.01
 0.00  0.83    0.00   0.00     3    0.61   0.01
 0.00  0.83    0.00   0.00     2   11.39   0.13
 0.00  0.83    0.00   0.00     4    0.65   0.39
 0.00  0.00    1.50   0.00     1    1.90   0.84
 0.00  0.00    1.50   0.00     5    2.32   0.07
 0.00  0.00    1.50   0.00     3   28.41   0.15
 0.00  0.00    1.50   0.00     2    1.06   0.04
 0.00  0.00    1.50   0.00     4    1.58   1.01

